,Year,AQI
0,1970,41.98965517241379
1,1971,47.29954337899543
2,1972,39.75774134790528
3,1973,43.81187214611872
4,1974,40.801826484018264
5,1975,45.33414872798435
6,1976,54.94173486652995
7,1977,35.863095238095234
8,1978,44.29300717547293
9,1979,94.53769693200664
10,1980,43.83342549223697
11,1981,38.53259512937595
12,1982,44.615361442210755
13,1983,41.32890445931542
14,1984,42.103726472374014
15,1985,52.37396934116113
16,1986,56.468586634066085
17,1987,59.11560213758844
18,1988,58.42976104799875
19,1989,62.47306764772518
20,1990,64.89199809323097
21,1991,64.75999387738753
22,1992,62.78601678376268
23,1993,64.64515095474901
24,1994,68.72993427402574
25,1995,61.39473807775178
26,1996,59.98753051744855
27,1997,57.254277229619696
28,1998,55.642311949846196
29,1999,74.61917580897034
30,2000,68.16194741809495
31,2001,72.75859522517057
32,2002,90.00297280971334
33,2003,81.96546344066891
34,2004,78.82686944582437
35,2005,74.7343633155277
36,2006,77.51875615252328
37,2007,82.55835715274071
38,2008,81.70332372389387
39,2009,71.78666528296665
40,2010,64.84269036899174
41,2011,73.03598410721698
42,2012,71.29844975152352
43,2013,71.87632182885608
44,2014,68.53044349105993
45,2015,66.2716248439536
46,2016,63.823864538618636
47,2017,66.59272159347502
48,2018,65.73754784789031
49,2019,54.22932911837022
50,2020,66.71920229891542
51,2021,67.24453783839328
52,2022,58.427843332466615
53,2023,59.105667853651724
