,Date,AQI,Sample_Duration,Pollutant_Type
0,1986-11-04,87,24 HOUR,81102
1,1986-11-10,79,24 HOUR,81102
2,1986-11-16,87,24 HOUR,81102
3,1986-11-22,57,24 HOUR,81102
4,1986-11-28,69,24 HOUR,81102
5,1986-12-04,95,24 HOUR,81102
6,1986-12-10,55,24 HOUR,81102
7,1986-12-16,80,24 HOUR,81102
8,1986-12-22,38,24 HOUR,81102
9,1986-12-28,55,24 HOUR,81102
10,1987-01-03,70,24 HOUR,81102
11,1987-01-09,56,24 HOUR,81102
12,1987-01-15,61,24 HOUR,81102
13,1987-01-21,70,24 HOUR,81102
14,1987-01-27,65,24 HOUR,81102
15,1987-02-02,51,24 HOUR,81102
16,1987-02-08,50,24 HOUR,81102
17,1987-02-14,32,24 HOUR,81102
18,1987-02-20,52,24 HOUR,81102
19,1987-02-26,42,24 HOUR,81102
20,1987-03-04,61,24 HOUR,81102
21,1987-03-10,37,24 HOUR,81102
22,1987-03-16,25,24 HOUR,81102
23,1987-03-22,20,24 HOUR,81102
24,1987-03-28,36,24 HOUR,81102
25,1987-04-03,15,24 HOUR,81102
26,1987-04-09,54,24 HOUR,81102
27,1987-04-15,61,24 HOUR,81102
28,1987-04-21,48,24 HOUR,81102
29,1987-04-27,51,24 HOUR,81102
30,1987-05-03,35,24 HOUR,81102
31,1987-05-15,52,24 HOUR,81102
32,1987-05-21,31,24 HOUR,81102
33,1987-05-27,37,24 HOUR,81102
34,1987-06-02,61,24 HOUR,81102
35,1987-06-08,47,24 HOUR,81102
36,1987-06-14,48,24 HOUR,81102
37,1987-06-20,47,24 HOUR,81102
38,1987-06-26,62,24 HOUR,81102
39,1987-07-02,50,24 HOUR,81102
40,1987-07-08,44,24 HOUR,81102
41,1987-07-20,43,24 HOUR,81102
42,1987-07-26,42,24 HOUR,81102
43,1987-08-01,54,24 HOUR,81102
44,1987-08-07,50,24 HOUR,81102
45,1987-08-13,51,24 HOUR,81102
46,1987-08-19,56,24 HOUR,81102
47,1987-08-25,65,24 HOUR,81102
48,1987-08-31,76,24 HOUR,81102
49,1987-09-06,61,24 HOUR,81102
50,1987-09-12,45,24 HOUR,81102
51,1987-09-18,73,24 HOUR,81102
52,1987-09-24,68,24 HOUR,81102
53,1987-09-30,77,24 HOUR,81102
54,1987-10-06,80,24 HOUR,81102
55,1987-10-12,59,24 HOUR,81102
56,1987-10-18,74,24 HOUR,81102
57,1987-10-24,39,24 HOUR,81102
58,1987-10-30,21,24 HOUR,81102
59,1987-11-05,20,24 HOUR,81102
60,1987-11-11,67,24 HOUR,81102
61,1987-11-17,54,24 HOUR,81102
62,1987-11-23,55,24 HOUR,81102
63,1987-11-29,79,24 HOUR,81102
64,1987-12-05,19,24 HOUR,81102
65,1987-12-11,32,24 HOUR,81102
66,1987-12-17,74,24 HOUR,81102
67,1987-12-29,15,24 HOUR,81102
68,1988-01-01,85,24 HOUR,81102
69,1988-01-04,46,24 HOUR,81102
70,1988-01-04,21,24 HOUR,81102
71,1988-01-10,43,24 HOUR,81102
72,1988-01-10,35,24 HOUR,81102
73,1988-01-16,16,24 HOUR,81102
74,1988-01-16,28,24 HOUR,81102
75,1988-01-28,62,24 HOUR,81102
76,1988-01-28,59,24 HOUR,81102
77,1988-02-03,61,24 HOUR,81102
78,1988-02-03,53,24 HOUR,81102
79,1988-02-09,94,24 HOUR,81102
80,1988-02-09,72,24 HOUR,81102
81,1988-02-15,75,24 HOUR,81102
82,1988-02-15,67,24 HOUR,81102
83,1988-02-21,65,24 HOUR,81102
84,1988-02-21,56,24 HOUR,81102
85,1988-02-27,44,24 HOUR,81102
86,1988-02-27,53,24 HOUR,81102
87,1988-03-04,57,24 HOUR,81102
88,1988-03-04,52,24 HOUR,81102
89,1988-03-10,36,24 HOUR,81102
90,1988-03-10,22,24 HOUR,81102
91,1988-03-22,38,24 HOUR,81102
92,1988-03-22,33,24 HOUR,81102
93,1988-03-16,44,24 HOUR,81102
94,1988-03-16,41,24 HOUR,81102
95,1988-03-28,63,24 HOUR,81102
96,1988-03-28,52,24 HOUR,81102
97,1988-04-03,44,24 HOUR,81102
98,1988-04-03,49,24 HOUR,81102
99,1988-04-09,61,24 HOUR,81102
100,1988-04-09,53,24 HOUR,81102
101,1988-04-15,21,24 HOUR,81102
102,1988-04-15,12,24 HOUR,81102
103,1988-04-21,16,24 HOUR,81102
104,1988-04-21,12,24 HOUR,81102
105,1988-04-27,37,24 HOUR,81102
106,1988-04-27,33,24 HOUR,81102
107,1988-05-03,31,24 HOUR,81102
108,1988-05-03,22,24 HOUR,81102
109,1988-05-09,30,24 HOUR,81102
110,1988-05-09,18,24 HOUR,81102
111,1988-05-15,41,24 HOUR,81102
112,1988-05-15,32,24 HOUR,81102
113,1988-05-22,42,24 HOUR,81102
114,1988-05-22,34,24 HOUR,81102
115,1988-05-27,31,24 HOUR,81102
116,1988-06-02,39,24 HOUR,81102
117,1988-06-02,27,24 HOUR,81102
118,1988-06-08,33,24 HOUR,81102
119,1988-06-08,25,24 HOUR,81102
120,1988-06-14,48,24 HOUR,81102
121,1988-06-14,49,24 HOUR,81102
122,1988-06-20,51,24 HOUR,81102
123,1988-06-20,30,24 HOUR,81102
124,1988-06-26,35,24 HOUR,81102
125,1988-06-26,33,24 HOUR,81102
126,1988-07-02,51,24 HOUR,81102
127,1988-07-02,46,24 HOUR,81102
128,1988-07-08,56,24 HOUR,81102
129,1988-07-08,47,24 HOUR,81102
130,1988-07-14,46,24 HOUR,81102
131,1988-07-14,34,24 HOUR,81102
132,1988-07-20,64,24 HOUR,81102
133,1988-07-20,57,24 HOUR,81102
134,1988-07-26,53,24 HOUR,81102
135,1988-07-26,53,24 HOUR,81102
136,1988-08-01,51,24 HOUR,81102
137,1988-08-01,43,24 HOUR,81102
138,1988-08-07,32,24 HOUR,81102
139,1988-08-07,28,24 HOUR,81102
140,1988-08-13,45,24 HOUR,81102
141,1988-08-13,41,24 HOUR,81102
142,1988-08-19,61,24 HOUR,81102
143,1988-08-19,48,24 HOUR,81102
144,1988-08-25,72,24 HOUR,81102
145,1988-08-25,65,24 HOUR,81102
146,1988-08-31,63,24 HOUR,81102
147,1988-08-31,58,24 HOUR,81102
148,1988-09-06,71,24 HOUR,81102
149,1988-09-06,61,24 HOUR,81102
150,1988-09-12,83,24 HOUR,81102
151,1988-09-12,73,24 HOUR,81102
152,1988-09-18,68,24 HOUR,81102
153,1988-09-18,62,24 HOUR,81102
154,1988-09-24,75,24 HOUR,81102
155,1988-09-24,65,24 HOUR,81102
156,1988-09-30,86,24 HOUR,81102
157,1988-09-30,68,24 HOUR,81102
158,1988-10-06,76,24 HOUR,81102
159,1988-10-06,51,24 HOUR,81102
160,1988-10-12,63,24 HOUR,81102
161,1988-10-12,54,24 HOUR,81102
162,1988-10-18,75,24 HOUR,81102
163,1988-10-18,69,24 HOUR,81102
164,1988-10-24,82,24 HOUR,81102
165,1988-10-24,69,24 HOUR,81102
166,1988-10-30,82,24 HOUR,81102
167,1988-10-30,77,24 HOUR,81102
168,1988-11-05,74,24 HOUR,81102
169,1988-11-05,65,24 HOUR,81102
170,1988-11-11,59,24 HOUR,81102
171,1988-11-11,47,24 HOUR,81102
172,1988-11-17,42,24 HOUR,81102
173,1988-11-17,35,24 HOUR,81102
174,1988-11-23,26,24 HOUR,81102
175,1988-11-23,39,24 HOUR,81102
176,1988-11-29,62,24 HOUR,81102
177,1988-11-29,43,24 HOUR,81102
178,1988-12-05,81,24 HOUR,81102
179,1988-12-05,73,24 HOUR,81102
180,1988-12-11,94,24 HOUR,81102
181,1988-12-11,71,24 HOUR,81102
182,1988-12-17,48,24 HOUR,81102
183,1988-12-17,41,24 HOUR,81102
184,1988-12-23,31,24 HOUR,81102
185,1988-12-23,26,24 HOUR,81102
186,1988-12-29,40,24 HOUR,81102
187,1988-12-29,33,24 HOUR,81102
188,1988-01-22,59,24 HOUR,81102
189,1988-05-29,28,24 HOUR,81102
190,1989-01-04,42,24 HOUR,81102
191,1989-01-04,35,24 HOUR,81102
192,1989-01-10,52,24 HOUR,81102
193,1989-01-10,48,24 HOUR,81102
194,1989-01-16,79,24 HOUR,81102
195,1989-01-16,52,24 HOUR,81102
196,1989-01-22,64,24 HOUR,81102
197,1989-01-22,69,24 HOUR,81102
198,1989-01-28,78,24 HOUR,81102
199,1989-01-28,73,24 HOUR,81102
200,1989-02-03,19,24 HOUR,81102
201,1989-02-03,9,24 HOUR,81102
202,1989-02-09,37,24 HOUR,81102
203,1989-02-09,29,24 HOUR,81102
204,1989-02-15,45,24 HOUR,81102
205,1989-02-15,49,24 HOUR,81102
206,1989-02-21,51,24 HOUR,81102
207,1989-02-21,42,24 HOUR,81102
208,1989-02-27,54,24 HOUR,81102
209,1989-02-27,54,24 HOUR,81102
210,1989-03-05,49,24 HOUR,81102
211,1989-03-05,48,24 HOUR,81102
212,1989-03-11,11,24 HOUR,81102
213,1989-03-11,17,24 HOUR,81102
214,1989-03-17,36,24 HOUR,81102
215,1989-03-17,30,24 HOUR,81102
216,1989-03-23,47,24 HOUR,81102
217,1989-03-23,44,24 HOUR,81102
218,1989-03-29,22,24 HOUR,81102
219,1989-03-29,16,24 HOUR,81102
220,1989-04-04,45,24 HOUR,81102
221,1989-04-04,28,24 HOUR,81102
222,1989-04-10,49,24 HOUR,81102
223,1989-04-10,40,24 HOUR,81102
224,1989-04-16,40,24 HOUR,81102
225,1989-04-16,42,24 HOUR,81102
226,1989-04-22,22,24 HOUR,81102
227,1989-04-22,15,24 HOUR,81102
228,1989-04-28,36,24 HOUR,81102
229,1989-04-28,28,24 HOUR,81102
230,1989-05-04,52,24 HOUR,81102
231,1989-05-04,44,24 HOUR,81102
232,1989-05-22,45,24 HOUR,81102
233,1989-05-22,34,24 HOUR,81102
234,1989-05-28,27,24 HOUR,81102
235,1989-06-03,62,24 HOUR,81102
236,1989-06-03,53,24 HOUR,81102
237,1989-06-09,54,24 HOUR,81102
238,1989-06-09,52,24 HOUR,81102
239,1989-06-15,44,24 HOUR,81102
240,1989-06-15,36,24 HOUR,81102
241,1989-06-27,46,24 HOUR,81102
242,1989-07-03,49,24 HOUR,81102
243,1989-07-03,33,24 HOUR,81102
244,1989-07-09,40,24 HOUR,81102
245,1989-07-09,29,24 HOUR,81102
246,1989-07-15,44,24 HOUR,81102
247,1989-07-15,31,24 HOUR,81102
248,1989-07-21,54,24 HOUR,81102
249,1989-07-21,48,24 HOUR,81102
250,1989-07-27,57,24 HOUR,81102
251,1989-07-27,46,24 HOUR,81102
252,1989-08-02,52,24 HOUR,81102
253,1989-08-02,44,24 HOUR,81102
254,1989-08-08,63,24 HOUR,81102
255,1989-08-08,44,24 HOUR,81102
256,1989-08-14,58,24 HOUR,81102
257,1989-08-20,51,24 HOUR,81102
258,1989-08-20,42,24 HOUR,81102
259,1989-08-26,53,24 HOUR,81102
260,1989-08-26,43,24 HOUR,81102
261,1989-09-01,57,24 HOUR,81102
262,1989-09-01,51,24 HOUR,81102
263,1989-09-07,60,24 HOUR,81102
264,1989-09-07,51,24 HOUR,81102
265,1989-09-13,71,24 HOUR,81102
266,1989-09-13,59,24 HOUR,81102
267,1989-09-19,27,24 HOUR,81102
268,1989-09-19,20,24 HOUR,81102
269,1989-09-25,56,24 HOUR,81102
270,1989-09-25,49,24 HOUR,81102
271,1989-10-01,29,24 HOUR,81102
272,1989-10-01,43,24 HOUR,81102
273,1989-10-07,65,24 HOUR,81102
274,1989-10-07,56,24 HOUR,81102
